,date,year,load,load_predict
20919,2007-04-11,2024,6527.0,5674.930210568207
20920,2007-04-12,2024,6895.2,5725.859007027535
20921,2007-04-13,2024,6605.4,5744.577510025652
20922,2007-04-14,2024,5693.3,5127.939116513814
20923,2007-04-15,2024,6015.7,5456.620875757087
20924,2007-04-16,2024,6771.3,5709.793808032717
20925,2007-04-17,2024,6695.5,5619.5777481130435
20926,2007-04-18,2024,6652.7,5837.91736192752
20927,2007-04-19,2024,6573.2,5625.390727009622
20928,2007-04-20,2024,6558.8,5608.134875122752
20929,2007-04-21,2024,5645.6,5310.076643387362
20930,2007-04-22,2024,5627.7,4972.773000481267
20931,2007-04-23,2024,7074.1,5800.804188197308
20932,2007-04-24,2024,7170.9,6012.546287523535
20933,2007-04-25,2024,6671.0,5875.109675484608
20934,2007-04-26,2024,6501.0,5752.462259563011
20935,2007-04-27,2024,6696.7,5608.514275836061
20936,2007-04-28,2024,5692.0,5013.26111292929
20937,2007-04-29,2024,5611.5,5058.206248728775
20938,2007-04-30,2024,6860.3,5663.175897696759
20939,2007-05-01,2024,6666.3,5631.656088510177
20940,2007-05-02,2024,6629.2,5673.1959548286395
20941,2007-05-03,2024,6670.1,5732.99453277067
20942,2007-05-04,2024,6561.1,5791.801387642036
20943,2007-05-05,2024,5595.5,5152.0547954848025
20944,2007-05-06,2024,5563.8,5120.51915198104
20945,2007-05-07,2024,6519.8,6281.2025924870095
20946,2007-05-08,2024,6652.0,6121.892827279326
20947,2007-05-09,2024,7308.9,6059.734043161923
20948,2007-05-10,2024,7614.7,6060.630888574947
20949,2007-05-11,2024,7580.2,6337.11495082186
20950,2007-05-12,2024,6086.3,5672.624312188345
20951,2007-05-13,2024,5518.1,5345.113221918633
20952,2007-05-14,2024,6742.6,5677.785248684015
20953,2007-05-15,2024,7498.3,6056.332411920265
20954,2007-05-16,2024,8129.8,6636.4716569928405
20955,2007-05-17,2024,7058.9,6097.236856351938
20956,2007-05-18,2024,6530.2,5895.627915970481
20957,2007-05-19,2024,5572.5,5634.968842427272
20958,2007-05-20,2024,5707.1,5360.501372131461
20959,2007-05-21,2024,6838.7,5865.388722819924
20960,2007-05-22,2024,6960.4,5953.269598923446
20961,2007-05-23,2024,7018.4,6128.378639386342
20962,2007-05-24,2024,7708.6,6706.328165219417
20963,2007-05-25,2024,8215.0,7313.82508396605
20964,2007-05-26,2024,7225.2,6317.043938589248
20965,2007-05-27,2024,6626.3,6181.85868493274
20966,2007-05-28,2024,7224.5,6247.681020462477
20967,2007-05-29,2024,8163.2,7196.351684039075
20968,2007-05-30,2024,8400.8,7495.6947031549935
20969,2007-05-31,2024,9062.2,7432.636472478935
20970,2007-06-01,2024,9222.3,7567.810856663577
20971,2007-06-02,2024,8088.5,6711.947838031064
20972,2007-06-03,2024,7116.1,6468.932329629319
20973,2007-06-04,2024,7625.5,7589.70168525565
20974,2007-06-05,2024,8479.3,7103.018662674507
20975,2007-06-06,2024,7363.3,7269.522162881721
20976,2007-06-07,2024,7490.6,6946.805609954558
20977,2007-06-08,2024,8703.4,7011.826758977454
20978,2007-06-09,2024,7355.6,6147.585527822477
20979,2007-06-10,2024,6220.9,5971.084902336446
20980,2007-06-11,2024,8450.2,6832.084893481908
20981,2007-06-12,2024,8734.6,7254.721201565959
20982,2007-06-13,2024,7491.4,7106.350657177071
20983,2007-06-14,2024,6854.5,7384.8330176034615
20984,2007-06-15,2024,7288.2,7724.982351889827
20985,2007-06-16,2024,6606.0,6381.959665799244
20986,2007-06-17,2024,7477.5,7092.292135195083
